,Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,2016 Median Annual Income
0,JPMorgan Chase Bank,0,Avenue U and East 17th St Branch,501,1/1/1900,6/20/1992,1722 Avenue U,Brooklyn,Kings,NY,11229,40.599109999999996,-73.95374,257757.0,256109.0,269664.0,393884.0,410870.0,432799.0,480204,61437
1,JPMorgan Chase Bank,0,Broadway and 96th Street Branch,512,1/1/1900,6/20/1992,"2551 Broadway, 96th Street",New York City,New York,NY,10025,40.79445,-73.97206,327054.0,336573.0,354604.0,385553.0,422699.0,441168.0,474228,61437
2,JPMorgan Chase Bank,0,Suffern Branch,3859,11/1/1901,10/1/2006,67 Lafayette Street,Suffern,Rockland,NY,10901,41.11541,-74.15134,38610.0,41017.0,44148.0,50997.0,58002.0,61939.0,65483,61437
3,JPMorgan Chase Bank,0,Grand Street Branch,509,1/1/1902,6/20/1992,231 Grand Street,New York City,New York,NY,10013,40.71853,-73.99513,110712.0,127369.0,161513.0,197445.0,219289.0,245988.0,281266,61437
4,JPMorgan Chase Bank,0,Ninth Street Branch,498,12/29/1902,6/20/1992,444 5th Avenue,Brooklyn,Kings,NY,11215,40.66985,-73.98073000000001,143163.0,161085.0,189245.0,205912.0,235212.0,248736.0,281082,61437
5,JPMorgan Chase Bank,0,Brownsville Branch,486,6/29/1903,6/20/1992,1697 Pitkin Avenue,Brooklyn,Kings,NY,11212,40.669709999999995,-73.91058000000001,26608.0,30392.0,31188.0,33872.0,34058.0,35972.0,40730,61437
6,JPMorgan Chase Bank,0,Main Street Branch,3772,7/1/1903,10/1/2006,235 Main Street,White Plains,Westchester,NY,10601,41.032920000000004,-73.76575,83732.0,97051.0,122387.0,137203.0,146185.0,148886.0,159187,61437
7,JPMorgan Chase Bank,0,Westhampton Beach Branch,3896,4/25/1904,10/1/2006,154 Main Street,Westhampton Beach,Suffolk,NY,11978,40.81009,-72.6416,39938.0,43212.0,44712.0,51264.0,63806.0,78339.0,83692,61437
8,JPMorgan Chase Bank,0,Bushwick Branch,487,7/1/1904,6/20/1992,819 Grand Street,Brooklyn,Kings,NY,11211,40.711999999999996,-73.94064,80934.0,93327.0,101083.0,106129.0,109817.0,126775.0,139762,61437
9,JPMorgan Chase Bank,0,Westbury Post and Maple Branch,3892,6/25/1910,10/1/2006,201 Post Avenue,Westbury,Nassau,NY,11590,40.75594,-73.58784,42092.0,44014.0,50129.0,58038.0,59676.0,62218.0,68066,61437
10,JPMorgan Chase Bank,0,Fourth Ave and 51st Street Branch,492,5/18/1912,6/20/1992,5101 Fourth Avenue,Brooklyn,Kings,NY,11220,40.64577,-74.01321999999999,77872.0,79086.0,72429.0,81459.0,99274.0,103731.0,101875,61437
11,JPMorgan Chase Bank,0,Delancey Street Branch,517,3/19/1915,6/20/1992,109 Delancey Street,New York City,New York,NY,10002,40.71855,-73.98854,85326.0,98701.0,110630.0,143089.0,156827.0,165411.0,241126,61437
12,JPMorgan Chase Bank,0,Broadway and 144th St Branch,526,9/1/1915,6/20/1992,3515 Broadway,New York City,New York,NY,10031,40.82581,-73.95111,52810.0,54194.0,62007.0,62872.0,73002.0,77545.0,80515,61437
13,JPMorgan Chase Bank,0,Hicksville North Broadway Branch,3905,1/1/1917,10/1/2006,249 North Broadway,Hicksville,Nassau,NY,11801,40.76777,-73.52425,75733.0,86999.0,99377.0,111910.0,120267.0,131270.0,151191,61437
14,JPMorgan Chase Bank,0,Scarsdale Branch,3922,5/10/1920,10/1/2006,8 East Parkway,Scarsdale,Westchester,NY,10583,40.989329999999995,-73.79275,183442.0,194342.0,204628.0,300469.0,320183.0,390234.0,408883,61437
15,JPMorgan Chase Bank,0,Rockaway Avenue Branch,3821,10/20/1920,10/1/2006,235 Rockaway Avenue,Valley Stream,Nassau,NY,11580,40.66101,-73.6998,31809.0,33784.0,34369.0,39603.0,44188.0,44352.0,48906,61437
16,JPMorgan Chase Bank,0,Ridgewood Branch,563,8/31/1921,6/20/1992,60-67 Myrtle Avenue,Ridgewood,Queens,NY,11385,40.70068,-73.89588,159586.0,161695.0,168912.0,193408.0,194767.0,210515.0,239461,61437
17,JPMorgan Chase Bank,0,West End Branch,1075,12/1/1921,7/14/1996,36 Genesee Street,Rochester,Monroe,NY,14611,43.14953,-77.63600000000001,4532.0,5223.0,6911.0,6370.0,6549.0,6695.0,6895,61437
18,JPMorgan Chase Bank,0,Havemeyer and Broadway Branch,499,4/28/1922,6/20/1992,225 Havemeyer Street,Brooklyn,Kings,NY,11211,40.70909,-73.95906,182139.0,212658.0,247696.0,282110.0,323918.0,361398.0,396328,61437
19,JPMorgan Chase Bank,0,New York Life Branch,520,12/18/1922,6/20/1992,386 Park Avenue South,New York City,New York,NY,10016,40.74292,-73.98449000000001,656985.0,634703.0,719617.0,810799.0,828921.0,904748.0,1015342,61437
20,JPMorgan Chase Bank,0,Thirteenth Ave and 48th St Branch,5258,1/1/1923,9/25/2008,4724 13th Avenue (48th Street),Brooklyn,Kings,NY,11219,40.63604,-73.99117,182630.0,175126.0,194780.0,216559.0,250726.0,291515.0,340561,61437
21,JPMorgan Chase Bank,0,Massapequa Branch,5337,1/1/1923,9/25/2008,4210 Sunrise Highway,Massapequa,Nassau,NY,11758,40.67532,-73.47639000000001,99789.0,94405.0,89926.0,93709.0,92085.0,91580.0,98301,61437
22,JPMorgan Chase Bank,0,Boro Park Branch,483,2/2/1925,6/20/1992,4901 Thirteenth Avenue,Brooklyn,Kings,NY,11219,40.63496,-73.9922,372403.0,377184.0,382038.0,499734.0,577501.0,666093.0,850875,61437
23,JPMorgan Chase Bank,0,Patchogue Branch,3978,7/11/1925,10/1/2006,115 East Main Street,Patchogue,Suffolk,NY,11772,40.76575,-73.01233,35362.0,39522.0,39526.0,42162.0,46575.0,51445.0,55399,61437
24,JPMorgan Chase Bank,0,Utica Avenue Branch,506,11/2/1925,6/20/1992,257 Utica Avenue,Brooklyn,Kings,NY,11213,40.66975,-73.93096,42737.0,43627.0,46388.0,45421.0,47631.0,49028.0,77637,61437
25,JPMorgan Chase Bank,0,Flatlands Branch,493,9/1/1926,6/20/1992,1987 Flatbush Avenue,Brooklyn,Kings,NY,11234,40.62129,-73.93544,126379.0,114066.0,108546.0,108997.0,109926.0,123330.0,142094,61437
26,JPMorgan Chase Bank,0,Mapleton Branch,496,9/13/1926,6/20/1992,6501 18th Avenue,Brooklyn,Kings,NY,11204,40.61909,-73.99014,152468.0,151279.0,177265.0,196219.0,199708.0,215111.0,241783,61437
27,JPMorgan Chase Bank,0,Concourse Branch,471,12/6/1926,6/20/1992,128 East Fordham Road,Bronx,Bronx,NY,10468,40.862359999999995,-73.8981,92532.0,96626.0,103650.0,110381.0,115712.0,123640.0,129136,61437
28,JPMorgan Chase Bank,0,Flushing Avenue Branch,507,4/4/1927,6/20/1992,210 Flushing Avenue,Brooklyn,Kings,NY,11205,40.6977,-73.96749,42574.0,47263.0,47002.0,55036.0,71490.0,71364.0,77548,61437
29,JPMorgan Chase Bank,0,Boynton Avenue Branch,469,4/14/1927,6/20/1992,1536 Westchester Avenue,Bronx,Bronx,NY,10472,40.82864,-73.87836,38890.0,39441.0,45274.0,50041.0,56442.0,60162.0,61872,61437
30,JPMorgan Chase Bank,0,Fifth Avenue and 21st Street Branch,3761,4/18/1927,10/1/2006,162 Fifth Avenue,New York City,New York,NY,10010,40.74048,-73.99039,102098.0,111553.0,120889.0,156407.0,158202.0,198611.0,213162,61437
31,JPMorgan Chase Bank,0,Monroe Avenue Branch,1071,1/1/1928,7/14/1996,560 Monroe Avenue,Rochester,Monroe,NY,14607,43.14573,-77.59227,31378.0,34252.0,39705.0,41787.0,40043.0,42509.0,46126,61437
32,JPMorgan Chase Bank,0,Forest Hills Branch,3839,1/1/1928,10/1/2006,9900 Metropolitan Avenue,Forest Hills,Queens,NY,11375,40.71087,-73.85373,45719.0,50178.0,56888.0,70998.0,74898.0,72311.0,79325,61437
33,JPMorgan Chase Bank,0,Mosholu Branch,473,6/15/1928,6/20/1992,3408 Jerome Avenue,Bronx,Bronx,NY,10467,40.881,-73.88322,85813.0,95107.0,98688.0,220304.0,118507.0,118387.0,131595,61437
34,JPMorgan Chase Bank,0,Yankee Stadium Branch,363,10/20/1928,10/26/1981,76 East 161st Street,Bronx,Bronx,NY,10451,40.82725,-73.92475999999999,99634.0,108556.0,104552.0,112101.0,116762.0,121525.0,3480,61437
35,JPMorgan Chase Bank,0,Pelham Parkway Branch,474,11/6/1928,6/20/1992,2126 White Plains Road,Bronx,Bronx,NY,10462,40.85414,-73.86764000000001,166924.0,168331.0,172688.0,183194.0,186641.0,206817.0,214699,61437
36,JPMorgan Chase Bank,0,Park Slope Branch,502,12/10/1928,6/20/1992,127 Seventh Avenue,Brooklyn,Kings,NY,11215,40.67313,-73.97627,237639.0,247785.0,278493.0,318071.0,336599.0,360810.0,426675,61437
37,JPMorgan Chase Bank,0,Eighty Sixth St and 19th Branch,5233,9/20/1929,9/25/2008,1901 86th Street,Brooklyn,Kings,NY,11214,40.605959999999996,-74.00039,195770.0,190571.0,188539.0,203894.0,213179.0,218663.0,236990,61437
38,JPMorgan Chase Bank,0,Nanuet Middletown Branch,3933,9/21/1929,10/1/2006,250 South Middletown Road,Nanuet,Rockland,NY,10954,41.08663,-74.01489000000001,67087.0,66258.0,73639.0,81526.0,88502.0,93824.0,105481,61437
39,JPMorgan Chase Bank,0,Tower Branch,1040,11/16/1929,7/14/1996,1 S Clinton Ave,Rochester,Monroe,NY,14604,43.157109999999996,-77.60665999999999,112317.0,521531.0,347314.0,549217.0,537603.0,465753.0,593098,61437
40,JPMorgan Chase Bank,0,Sheepshead Bay Branch,504,1/20/1930,6/20/1992,2623 East 17th Street,Brooklyn,Kings,NY,11235,40.58801,-73.95236,169563.0,189151.0,207809.0,225472.0,253619.0,260294.0,319154,61437
41,JPMorgan Chase Bank,0,Newkirk Plaza Branch,494,3/10/1930,6/20/1992,1509 Foster Avenue,Brooklyn,Kings,NY,11230,40.63432,-73.96269000000001,118751.0,123258.0,115551.0,148252.0,153831.0,164917.0,167768,61437
42,JPMorgan Chase Bank,0,Kings Highway Branch,495,9/22/1930,6/20/1992,1663 East 17th Street,Brooklyn,Kings,NY,11229,40.609190000000005,-73.95643000000001,148665.0,149714.0,152949.0,176143.0,186245.0,202885.0,207354,61437
43,JPMorgan Chase Bank,0,Madison Avenue & 72nd Street Branch,541,3/1/1932,6/20/1992,35 East 72nd Street,New York City,New York,NY,10021,40.77162,-73.96504,526273.0,708192.0,723552.0,737114.0,746575.0,763661.0,815233,61437
44,JPMorgan Chase Bank,0,Flatbush Branch,5235,10/8/1932,9/25/2008,1101 Avenue J,Brooklyn,Kings,NY,11230,40.62481,-73.96481,168325.0,166328.0,178360.0,202206.0,225287.0,246898.0,282050,61437
